fluencia em ingles,area de formacao,conhecimento em matematica,nivel teorico de Machine Learning,ja aplicou tecnicas de Machine Learning,capacidade de discutir sobre Machine Learning,ja usou scikit-learn e TensorFlow,ja contribuiu em projetos em equipe envolvendo Machine Learning,ja desenvolveu modelos em Machine Learning,seu nivel de proficiencia com algoritmos de Machine Learning ,seu nivel de conhecimento dos conceitos de Machine Learning,Interesse em participar dos projetos desenvolvidos pelo grupo
Iniciante,Engenharia Biomédica,Tenho um bom conhecimento prático e teórico em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Intermediário,Fonoaudiologia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Avançado,Fonoaudiologia,Não tenho conhecimento em matemática avançada,"Conheço os conceitos básicos, como aprendizado supervisionado e não supervisionado, overfitting e underfitting",Não,"capaz, mas com dificuldade",Não,Não,Não,1,Iniciante,Sim
Intermediário,Psicologia,Tenho um bom conhecimento prático e teórico em matemática avançada,Tenho um bom conhecimento prático e teórico em Machine Learning,"Sim, em projetos mais complexos","capaz, com facilidade","Sim, em projetos mais complexos","Sim, em projetos mais complexos","Sim, modelos mais complexos",2,Avançado,Sim
Intermediário,Engenharia Biomédica,Tenho um bom conhecimento prático e teórico em matemática avançada,"Conheço os conceitos básicos, como aprendizado supervisionado e não supervisionado, overfitting e underfitting","Sim, em projetos simples","capaz, com facilidade","Sim, em projetos simples","Sim, em projetos simples","Sim, modelos simples",1,Intermediário,Sim
Avançado,Fonoaudiologia,"Conheço os conceitos básicos, mas não tenho muita prática",Não tenho conhecimento em Machine Learning,Não,"capaz, mas com dificuldade",Não,Não,Não,0,Iniciante,Sim
Avançado,Psicologia,"Conheço os conceitos básicos, mas não tenho muita prática","Conheço os conceitos básicos, como aprendizado supervisionado e não supervisionado, overfitting e underfitting","Sim, em projetos simples","capaz, mas com dificuldade","Sim, em projetos simples","Sim, em projetos simples","Sim, modelos simples",1,Intermediário,Sim
Iniciante,Engenharia Biomédica,Não tenho conhecimento em matemática avançada,Tenho um bom conhecimento prático e teórico em Machine Learning,"Sim, em projetos simples","capaz, mas com dificuldade","Sim, em projetos simples","Sim, em projetos simples","Sim, modelos simples",2,Intermediário,Sim
Avançado,Engenharia Biomédica,Tenho um bom conhecimento prático e teórico em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,1,Iniciante,Sim
Avançado,Fonoaudiologia,"Conheço os conceitos básicos, mas não tenho muita prática",Não tenho conhecimento em Machine Learning,Não,"capaz, mas com dificuldade",Não,Não,Não,0,Iniciante,Sim
Iniciante,Fonoaudiologia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,"capaz, mas com dificuldade",Não,Não,Não,0,Iniciante,Sim
Intermediário,Fisioterapia,"Conheço os conceitos básicos, mas não tenho muita prática",Tenho um bom conhecimento prático e teórico em Machine Learning,"Sim, em projetos mais complexos","capaz, mas com dificuldade","Sim, em projetos mais complexos","Sim, em projetos mais complexos","Sim, modelos simples",2,Intermediário,Sim
Avançado,Fisioterapia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,"Sim, em projetos simples",incapaz,"Sim, em projetos simples",Não,Não,1,Iniciante,Sim
Iniciante,Biologia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Intermediário,Fisioterapia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Avançado,Engenharia Biomédica,Tenho um bom conhecimento prático e teórico em matemática avançada,Não tenho conhecimento em Machine Learning,Não,"capaz, mas com dificuldade",Não,Não,Não,1,Iniciante,Sim
Intermediário,Engenharia Biomédica,"Conheço os conceitos básicos, mas não tenho muita prática","Conheço os conceitos básicos, como aprendizado supervisionado e não supervisionado, overfitting e underfitting",Não,incapaz,Não,Não,Não,1,Iniciante,Sim
Avançado,Engenharia Biomédica,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Intermediário,Fisioterapia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Não
Iniciante,Engenharia Elétrica,Tenho um bom conhecimento prático e teórico em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Iniciante,Fisioterapia,"Conheço os conceitos básicos, mas não tenho muita prática",Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,1,Iniciante,Sim
Avançado,Psicologia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Não
Intermediário,Engenharia Elétrica,Tenho um bom conhecimento prático e teórico em matemática avançada,"Conheço os conceitos básicos, como aprendizado supervisionado e não supervisionado, overfitting e underfitting","Sim, em projetos simples","capaz, mas com dificuldade","Sim, em projetos simples",Não,Não,1,Intermediário,Sim
Iniciante,Fonoaudiologia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Intermediário,Engenharia Elétrica,Tenho um bom conhecimento prático e teórico em matemática avançada,"Conheço os conceitos básicos, como aprendizado supervisionado e não supervisionado, overfitting e underfitting","Sim, em projetos simples","capaz, com facilidade","Sim, em projetos simples",Não,"Sim, modelos simples",2,Intermediário,Sim
Iniciante,Fisioterapia,"Conheço os conceitos básicos, mas não tenho muita prática",Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,1,Iniciante,Sim
Intermediário,Fisioterapia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,Não,incapaz,Não,Não,Não,0,Iniciante,Sim
Intermediário,Psicologia,Não tenho conhecimento em matemática avançada,Não tenho conhecimento em Machine Learning,"Sim, em projetos simples",incapaz,"Sim, em projetos simples",Não,Não,0,Iniciante,Sim