,Titulos,Instituições,Autores,Ano,Volume,Links
0,Ecotoxicological effects of commercial herbicides on the reproductive system of aquatic arthropod Limnocoris submontandoni (Hemiptera: Naucoridae),Brazilian Journal of Biology,"['Souza, A. M.', 'Maciel, J. C.', 'Barroso, G. M.', 'Silva, R. S.', 'Garraffoni, A. R. S.', 'Neves, C. A.', 'Soares, M. A.', 'Santos, J. B.']",2024.0,84.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842024000100105&lang=pt
1,Mortality of the cotton boll weevil in drip and sprinkler irrigated cotton crops,Brazilian Journal of Biology,"['Faustino, R.F.', 'Silva, C.A.D.', 'Zanuncio, J.C.', 'Pereira, J.R.', 'Pereira, A.I.A.']",2023.0,83.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842023000100260&lang=pt
2,"Natural parasitism in fruit fly (Diptera: Tephritidae) and interaction with wild hosts surrounding apple orchards adjacent to Atlantic Forest fragments in Paraná State, Brazil",Brazilian Journal of Biology,"['Monteiro, L. B.', 'Nishimura, G.', 'Monteiro, R. S.']",2023.0,83.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842023000100286&lang=pt
3,Yersinia massiliensis (Enterobacteriales: Enterobacteriaceae) in the host Anaphes nitens (Hymenoptera: Mymaridae): first report of association with insects,Brazilian Journal of Biology,"['Ribeiro, M. F.', 'Carvalho, V. R.', 'Favoreto, A. L.', 'De Marchi, B. R.', 'Jordan, C.', 'Zanuncio, J. C.', 'Soares, M. A.', 'Zanuncio, A. J. V.', 'Wilcken, C. F.']",2022.0,82.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842022000100119&lang=pt
4,Distribution of galling insects and their parasitoids on Caryocar brasiliense tree crowns,Brazilian Journal of Biology,"['Leite, G. L. D.', 'Veloso, R. V. S.', 'Azevedo, A. M.', 'Almeida, C. I. Maia e', 'Soares, M. A.', 'Pereira, A. I. A.', 'Lemes, P. G.', 'Zanuncio, J. C.']",2022.0,82.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842022000100159&lang=pt
5,Seroprevalence of Chagas disease in Southern Brazilian cardiac patients and their knowledge about the parasitosis and vectors,Brazilian Journal of Biology,"['Dutra, A. S.', 'Stauffert, D.', 'Bianchi, T. F.', 'Ribeiro, D. R. P.', 'Villela, M. M.']",2021.0,81.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842021000400867&lang=pt
6,História com maiúscula de um minúsculo inseto,Topoi (Rio de Janeiro),"['Correa, Sílvio Marcus de Souza']",2021.0,22.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2021000300814&lang=pt
7,Biological control of dryocosmus kuriphilus yasumatsu with the parasitoid torymus sinensis kamijo,"Millenium - Journal of Education, Technologies, and Health","['Cardoso, João', 'Almeida, Maria Teresa', 'Bento, Albino']",2021.0,14.0,http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S0873-30152021000100091&lang=pt
8,Efeito da temperatura no desenvolvimento e na reprodução de Blastopsylla occidentalis (Hemiptera: Aphalaridae) em condições de laboratório,Ciência Florestal,"['Künast, Talita Benedcta Santos', 'Queiroz, Dalva Luiz de', 'Burckhardt, Daniel', 'Andrade, Ednaldo Antônio de', 'Barreto, Marliton Rocha']",2021.0,31.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982021000100440&lang=pt
9,"Saprophytic flies in impacted areas of the Belo Monte Dam, Pará, Brazil (Diptera: Mesembrinellidae, Neriidae, Ropalomeridae, and Sarcophagidae): community composition, abundance, and species richness",Biota Neotropica,"['Queiroz, Camila Lorena Damasceno', 'De-Souza, Caroline Costa', 'Medeiros, Hermes Fonseca de', 'Overal, William Leslie', 'Viana-Junior, Arleu Barbosa', 'Carvalho-Filho, Fernando da Silva']",2021.0,21.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032021000100302&lang=pt
10,Biological and morphological parameters of Dysdercus maurus fed with low- or high-oil cotton seeds,Pesquisa Agropecuária Brasileira,"['Silva, Carlos Alberto Domingues da', 'Galdino, Josivaldo da Silva', 'Carvalho, Thiele da Silva', 'Zanuncio, José Cola']",2021.0,56.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2021000102001&lang=pt
11,"POPULATION DYNAMICS OF Hypothenemus hampei (Coleoptera: Scolytidae) IN AGROFORESTRY AND MONOCULTURE SYSTEMS OF CONILON COFFEE IN THE SOUTHERN PORTION OF THE STATE OF AMAZONAS, BRAZIL",Revista Árvore,"['Botelho, Juliana Formiga', 'Queiroz, Ruan Sobreira de', 'Anjos, Marcelo Rodrigues dos', 'Souza, Moisés Santos de']",2021.0,45.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622021000100223&lang=pt
12,"Effect of light stress on Crotalaria spectabilis (Fabaceae) and on its herbivore insect, the moth Utetheisa ornatrix (Erebidae: Arctiinae)",Iheringia. Série Zoologia,"['Moreno, Carolina', 'Barbosa, Letícia L.', 'Lima, Lorena S.', 'Ferro, Viviane G.']",2021.0,111.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212021000100218&lang=pt
13,Record of aquatic invertebrates associated with the bromeliads Aechmea ornata (Baker) and Aechmea recurvata (Klotzsch) L. B. Sm in two Atlantic Rainforest fragments of south Brazil,Acta Limnologica Brasiliensia,"['Silva, Yuri Kataoka', 'Moser, Anderson de Souza', 'Ceneviva-Bastos, Mônica', 'Affonso, Ana Lucia Suriani']",2021.0,33.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2021000100803&lang=pt
14,Intraspecific variation in the Chrysodeixis includens (Walker) (Lepidoptera: Noctuidae) susceptibility to insecticides,Pesquisa Agropecuária Tropical,"['Restelatto, Samanta Souza', 'Wille, Paulo Eduardo', 'Buss, Nayara', 'Wille, Cleiton Luis', 'Boff, Mari Inês Carissimi', 'Contini, Rafael Ermenegildo', 'Franco, Cláudio Roberto']",2021.0,51.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632021000100223&lang=pt
15,"AS DENOMINAÇÕES PARA LIBÉLULA, NO ATLAS LINGUÍSTICO DO BRASIL: UM ESTUDO SOBRE A MOTIVAÇÃO DOS SIGNOS",Alfa: Revista de Linguística (São José do Rio Preto),"['AGUILERA, Vanderci de Andrade', 'SILVA, Helen Cristina da']",2021.0,65.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942021000100246&lang=pt
16,A compilation of host plants and their gall-inducing insects for the Caatinga Biome,Biota Neotropica,"['Cintra, Fernanda C. F.', 'Maia, Valéria C.', 'Urso-Guimarães, Maria V.', 'Araújo, Walter S. de', 'Carneiro, Marco A. A.', 'Venâncio, Henrique', 'Almeida, Wanessa R. de', 'Santos, Jean C.']",2021.0,21.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032021000400207&lang=pt
17,Nephrotic syndrome after insect sting: a case report,Brazilian Journal of Nephrology,"['Junqueira, Vânia', 'Donato, Beatriz', 'Teixeira, Catarina', 'Mascarenhas, Maria Isabel', 'Silva, Isabel Costa', 'Almeida, Edgar']",2020.0,42.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002020000400498&lang=pt
18,ENTOMOPATHOGENIC NEMATODES ON CONTROL OF MEDITERRANEAN FRUIT FLY (DIPTERA: TEPHRITIDAE),Revista Caatinga,"['ROHDE, CRISTHIANE', 'MERTZ, NATÁLIA RAMOS', 'JUNIOR, ALCIDES MOINO']",2020.0,33.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21252020000400974&lang=pt
19,Insecticidal and inhibitory effects of Meliaceae and Asteraceae extracts to silverleaf whitefly,Horticultura Brasileira,"['Baldin, Edson Luiz Lopes', 'Schlick-Souza, Eunice Cláudia', 'Soares, Muriel Cicatti Emanoeli', 'Lopes, Norberto Peporine', 'Lopes, João Luis Callegari', 'Bogorni, Paulo César', 'Vendramim, José Djair']",2020.0,38.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362020000300280&lang=pt
20,"[SciELO Preprints] - Identification of pest insects, predators and phytopathogenic fungi of Cucurbita moschata Loche",,"['Esquen-Bayona , Damaris', 'Arias , Carmen Patricia Calderon']",,,https://preprints.scielo.org/index.php/scielo/preprint/view/673
21,A cochonilha no mundo luso-brasileiro: o manuscrito setecentista editado por Manuel Joaquim Henriques de Paiva,"História, Ciências, Saúde-Manguinhos","['Santos, Clara Braz dos', 'Pereira, Milena da Silveira']",2020.0,27.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702020000100275&lang=pt
22,Insecticidal activity of plant extracts on Dysmicoccus brevipes in pineapple,Revista de Ciências Agrárias,"['Lira, Josélia A.', 'Pereira, Rosane R. da C.', 'Costa, Leidiane de O.', 'Nogueira, Rayele C. C.', 'Pereira, Carlos E.']",2020.0,43.0,http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S0871-018X2020000100175&lang=pt
23,"Bruchine-Predated Seeds of Ipomoea nil (L.) Roth., A Cotton Crop Weed in Santiago Del Estero, Argentina",Planta Daninha,"['HELMAN, S.', 'SOBRERO, M.T.', 'RAÑA, E.']",2020.0,38.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582020000100225&lang=pt
24,Impact of global warming on the distribution of Anastrepha grandis (Diptera: Tephritidae) in Brazil,Arquivos do Instituto Biológico,"['Lisbôa, Heitor', 'Grutzmacher, Anderson Dionei', 'Wrege, Marcos Silveira', 'Garcia, Flávio Roberto Mello', 'Nava, Dori Edson']",2020.0,87.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572020000100201&lang=pt
25,Damage by the green-belly stink bug to corn,Pesquisa Agropecuária Brasileira,"['Fernandes, Paulo Henrique Ramos', 'Ávila, Crébio José', 'Silva, Ivana Fernandes da', 'Zulin, Daniele']",2020.0,55.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2020000102000&lang=pt
26,Biological aspects and feeding behavior of cotton aphid in watermelon cultivars submitted to silicon application,Arquivos do Instituto Biológico,"['Pereira, Rosane Rodrigues da Costa', 'Barbosa, Roneres Deniz', 'Ferreira, Luciana Diniz', 'Silva, Douglas Marcelo Pinheiro da', 'Zaché, Ronelza Rodrigues da Costa', 'Pereira, Carlos Eduardo']",2020.0,87.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572020000100229&lang=pt
27,"Diet of Phylloicus (Trichoptera: Calamoceratidae) caddisfly larvae in forest streams of western Pará, central Brazilian Amazonia",Acta Limnologica Brasiliensia,"['Pimentel, Diego Ramos', 'Couceiro, Sheyla Regina Marques', 'Salcedo, Ana Karina Moreyra']",2020.0,32.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2020000100509&lang=pt
28,Performance of insecticides in control of Diatraea saccharalis (Lepidoptera: Crambidae) in sugarcane,Arquivos do Instituto Biológico,"['Silva, Marcelo Feitosa da', 'Funichello, Marina', 'Souza, Diego Miranda de']",2020.0,87.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572020000100224&lang=pt
29,Investigation of Chagas disease within the same family: case study,Jornal Brasileiro de Patologia e Medicina Laboratorial,"['Takamiya, Nayore Tamie', 'Costa, Erika Alessandra P. N.', 'Lucheis, Simone B.', 'Santos, Rodrigo M.']",2019.0,55.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442019000600693&lang=pt
30,"Ocorrência e análise de injúrias de Costalimaita ferruginea (Fabricius, 1801) (Coleoptera: Chrysomelidae) em clones de Eucalyptus em Alagoas",Ciência Florestal,"['Xavier, Maria Eugênia Vieira', 'Breda, Mariana Oliveira', 'Gonzaga, Elmadã Pereira', 'Santos, Djison Silvestre dos', 'Costa, João Gomes da']",2019.0,29.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982019000301452&lang=pt
31,Effect of canopy cover on development of cedar (Cedrela fissilis) and aspects of damage caused by Hypsipyla grandella in agroforestry system,Ciência Florestal,"['Borges, Rafael', 'Boff, Mari Inês Carissimi', 'Mantovani, Adelar', 'Biscaro-Borges, Camila', 'Blassioli-Moraes, Maria Carolina']",2019.0,29.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982019000301324&lang=pt
32,Compostos de esterco de galinha e de ovino melhoram a produtividade de plantas de cafeeiro sob um sistema de produção orgânica,Arnaldoa,"['Rocca Jara, Quemin', 'Julca Otiniano, Alberto', 'Cuti Tapia, Rosa', 'Alvarado Huamán, Leonel', 'Castro Cépero, Viviana', 'Borjas Ventura, Ricardo']",2019.0,26.0,http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2413-32992019000200015&lang=pt
33,Galling inducing insects associated with a tropical shrub: The role of resource concentration and species interactions,Ecología austral,"['Fagundes, Marcilio', 'Barbosa, Elizete M', 'Oliveira, Jefferson B. B. S', 'Brito, Betânia G. S', 'Freitas, Kamila T', 'Freitas, Kleiperry F', 'Reis-Junior, Ronaldo']",2019.0,29.0,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1667-782X2019000100002&lang=pt
34,"Entomofauna associated with Avena sativa in southern Mato Grosso do Sul, Brazil",Arquivos do Instituto Biológico,"['Silva, Rafael Azevedo da', 'Degrande, Paulo', 'Souza, Ellen Patricia de', 'Carducci, Carlos Eduardo', 'Leal, Matheus Fuchs', 'Pereira, Matheus Dalla Cort']",2019.0,86.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572019000100229&lang=pt
35,Compared activity of agonist molecules towards ecdysone receptor in insect cell-based screening system,Arquivos do Instituto Biológico,"['Pinto, Ciro Pedro Guidotti', 'Rickes, Letícia Neutzling', 'Zotti, Moisés João', 'Grutzmacher, Anderson Dionei']",2019.0,86.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572019000100409&lang=pt
36,"Silicon as resistance inducer in to control black aphid Aphis craccivora Koch, 1854 in Phaseolus lunatus lima beans",Arquivos do Instituto Biológico,"['Fortes Portela, Gilson Lages', 'Ramalho Silva, Paulo Roberto', 'Girão Filho, José Edmir', 'de Moura Pádua, Luiz Evaldo', 'de Melo Júnior, Luiz Carlos']",2019.0,86.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572019000100238&lang=pt
37,Preferences and demographic parameters of cowpea aphid on advanced lines of semiprostrate cowpea,Pesquisa Agropecuária Brasileira,"['Silva, Leandro Carvalho da', 'Nere, Daniel Rodrigues', 'Bleicher, Ervino', 'Tavares, Eraldo José Madureira', 'Barbosa, Antônio Vinícius Correa']",2019.0,54.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2019000101901&lang=pt
38,"Leptocybe invasa (HYMENOPTERA: EULOPHIDAE) ON Eucalyptus SEEDLINGS IN SANTA CATARINA STATE, BRAZIL",Ciência Florestal,"['Barbosa, Leonardo Rodrigues', 'Rodrigues, Angelo Peruffo', 'Souza, Amanda Rodrigues de', 'Puretz, Barbara de Oliveira', 'Wilcken, Carlos Frederico', 'Zanuncio, José Cola']",2018.0,28.0,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-50982018000401770&lang=pt
39,Integrated management of pine wilt disease in Troia,Revista de Ciências Agrárias,"['Naves, Pedro', 'Bonifácio, Luís', 'Inácio, Maria Lurdes', 'Sousa, Edmundo']",2018.0,41.0,http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S0871-018X2018000500002&lang=pt
